city,CO,NO2,O3,SO2,PM2.5,PM10
Albany,313.76,15.25,45.42,1.01,4.27,4.89
Danbury,370.5,23.65,46.49,1.59,10.21,13.96
Hemet,206.95,2.42,95.84,0.64,1.45,3.96
Thornton,233.65,4.93,82.97,1.83,5.17,5.94
Columbia,223.64,2.16,84.4,1.0,11.52,14.65
Enterprise,206.95,0.71,92.98,0.24,6.75,9.57
Bk,387.19,39.07,45.06,8.11,12.07,16.72
Houston,220.3,9.34,85.83,3.99,4.31,10.4
Oceanside,250.34,5.44,86.55,0.95,4.38,12.91
Orange,337.12,21.59,18.42,3.99,8.47,10.13
Carlsbad,250.34,5.44,86.55,0.95,4.38,12.91
Silver Spring,243.66,6.17,80.11,2.21,4.0,4.51
Corpus Christi,203.61,2.74,76.53,1.37,3.28,4.11
Montgomery,216.96,5.1,97.28,2.0,8.85,13.11
Ogden,210.29,4.58,58.65,0.29,2.5,3.51
Nashua,397.21,40.44,16.63,1.76,6.59,7.69
Lakeland,210.29,1.91,103.0,0.51,3.86,6.98
Boynton Beach,211.95,3.3,72.24,0.97,1.55,3.19
Murfreesboro,257.02,7.2,58.65,4.29,4.61,5.07
Champaign,233.65,2.23,80.11,0.69,0.9,1.15
Pueblo,195.27,0.76,69.38,0.21,1.72,6.36
Sugar Land,208.62,6.77,91.55,6.68,3.6,8.63
North Las Vegas,186.92,0.18,70.1,0.06,1.5,8.06
Fayetteville,233.65,2.64,62.94,0.33,1.28,2.2
Irvine,297.07,22.62,103.0,10.25,5.34,10.64
Youngs,220.3,2.38,91.55,0.97,8.39,11.25
Modesto,400.54,22.96,35.76,11.8,11.85,17.98
Lake Charles,196.93,2.83,97.28,1.94,4.22,8.94
Plymouth,216.96,2.04,70.81,0.54,0.71,1.69
Santa Monica,213.62,3.64,88.69,1.06,1.93,8.37
Bakersfield,303.75,3.13,101.57,1.57,14.74,17.1
Cranston,273.71,8.65,42.92,0.4,1.96,3.04
Arlington,270.37,8.74,42.56,0.95,3.34,3.67
Lauderhill,223.64,6.43,74.39,1.8,2.48,4.02
Green Bay,230.31,2.16,78.68,1.04,0.5,0.7
Lincoln,206.95,0.53,88.69,0.81,1.09,3.94
Perris,210.29,2.29,95.84,0.62,1.43,5.3
Meridian,203.61,1.39,78.68,0.37,6.37,11.22
Spring Hill,216.96,1.32,84.4,0.76,0.74,1.41
Bend,233.65,2.91,68.67,0.05,2.22,5.14
Huntington Beach,297.07,22.62,103.0,10.25,5.34,10.64
Los Angeles,220.3,6.86,86.55,1.65,1.76,6.99
San Juan,233.65,0.3,36.84,0.24,0.68,0.84
Simi Valley,210.29,0.63,98.71,0.16,2.76,13.74
Roanoke,213.62,2.21,63.66,0.31,2.8,2.94
Hialeah,216.96,6.86,72.24,1.55,2.29,4.03
Lafayette,200.27,0.87,101.57,0.35,3.55,7.22
Palm Bay,200.27,1.18,87.98,0.35,1.52,4.02
Fort Worth,257.02,5.91,47.21,0.51,3.02,3.32
Bellingham,290.39,9.94,43.99,1.16,1.21,1.77
Independence,270.37,14.57,60.08,5.72,1.84,3.06
Yuba City,260.35,4.71,50.07,0.41,3.89,11.61
Tuscaloosa,206.95,1.52,74.39,0.9,5.99,10.41
Napa,230.31,3.68,83.69,0.42,2.17,4.45
Franklin,250.34,5.23,58.65,3.7,3.64,4.03
Nampa,243.66,2.7,66.52,0.2,5.1,19.17
Cheektowaga,263.69,7.71,57.22,1.65,0.75,0.96
Plano,247.0,4.5,45.42,0.28,2.7,2.83
Merced,283.72,8.91,63.66,2.71,5.64,9.56
Salem,323.77,12.0,25.03,1.52,4.71,6.38
Lowell,460.63,47.98,4.25,2.89,7.57,10.34
Glen Burnie,250.34,6.51,80.82,1.91,4.68,5.55
Clifton,303.75,13.88,64.37,3.16,9.96,13.29
Dale City,236.99,4.5,78.68,1.67,2.9,3.37
Fort Collins,190.26,0.87,83.69,0.28,0.98,1.95
Hayward,660.9,80.88,25.39,24.56,25.25,35.21
Woodbury,240.33,4.97,75.1,1.25,0.56,0.88
Dearborn,247.0,6.68,74.39,1.54,1.21,1.88
Ann Arbor,226.97,1.33,80.11,0.41,0.78,1.04
Bayamón,230.31,0.3,30.04,0.22,0.55,0.82
Hammond,250.34,6.6,74.39,3.79,1.1,2.39
Bossier City,226.97,8.14,48.64,1.33,6.96,12.1
Salinas,373.84,17.99,64.37,3.37,14.16,19.32
New York,323.77,20.22,61.51,4.05,10.42,14.17
Eau Claire,226.97,1.78,78.68,1.54,0.5,0.68
